"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2003","186.25","182.93","187.08","182.93","206.47M","1.81%"
"Dec 30, 2003","182.93","179.74","183.18","179.74","211.92M","1.77%"
"Dec 29, 2003","179.74","179.97","181.69","178.59","201.46M","-0.13%"
"Dec 26, 2003","179.97","176.44","179.97","176.28","196.68M","2.00%"
"Dec 25, 2003","176.44","182.40","184.59","175.36","412.94M","-3.27%"
"Dec 24, 2003","182.40","182.42","184.58","181.41","326.85M","-0.01%"
"Dec 23, 2003","182.42","183.88","187.01","181.85","487.07M","-0.79%"
"Dec 22, 2003","183.88","182.06","184.39","180.46","471.42M","1.00%"
"Dec 19, 2003","182.06","177.42","182.10","177.42","519.73M","2.62%"
"Dec 18, 2003","177.42","172.31","177.42","172.31","354.53M","2.97%"
"Dec 17, 2003","172.31","172.09","173.54","171.27","258.04M","0.13%"
"Dec 16, 2003","172.09","174.10","175.30","171.58","353.15M","-1.15%"
"Dec 15, 2003","174.10","169.55","176.48","169.55","548.59M","2.68%"
"Dec 12, 2003","169.55","165.52","170.84","165.52","559.33M","2.43%"
"Dec 11, 2003","165.52","166.15","167.12","164.72","274.08M","-0.38%"
"Dec 10, 2003","166.15","168.61","168.93","165.05","278.99M","-1.46%"
"Dec 09, 2003","168.61","169.13","171.01","167.77","492.42M","-0.31%"
"Dec 08, 2003","169.13","165.05","169.63","165.05","475.82M","2.47%"
"Dec 05, 2003","165.05","162.72","165.05","162.43","251.12M","1.43%"
"Dec 04, 2003","162.72","163.90","167.46","161.64","-","-0.72%"
"Dec 03, 2003","163.90","162.42","164.91","161.47","345.28M","0.91%"
"Dec 02, 2003","162.42","160.08","162.65","159.11","314.45M","1.46%"
"Dec 01, 2003","160.08","146.18","160.08","146.18","264.06M","9.51%"
"Nov 20, 2003","146.18","157.80","160.22","146.18","170.07M","-7.36%"
"Nov 19, 2003","157.80","157.60","159.82","156.45","225.42M","0.13%"
"Nov 18, 2003","157.60","156.87","159.29","156.48","222.51M","0.47%"
"Nov 17, 2003","156.87","160.81","161.81","156.15","323.55M","-2.45%"
"Nov 14, 2003","160.81","160.57","162.81","159.39","373.14M","0.15%"
"Nov 13, 2003","160.57","157.71","161.35","157.45","433.74M","1.81%"
"Nov 12, 2003","157.71","152.24","157.71","151.22","345.65M","3.59%"
"Nov 11, 2003","152.24","155.29","156.66","151.32","265.08M","-1.96%"
"Nov 10, 2003","155.29","157.08","157.94","154.78","158.97M","-1.14%"
"Nov 07, 2003","157.08","155.37","157.59","154.04","313.93M","1.10%"
"Nov 06, 2003","155.37","164.08","164.08","154.10","384.92M","-5.31%"
"Nov 05, 2003","164.08","162.68","164.61","159.65","389.09M","0.86%"
"Nov 04, 2003","162.68","163.41","165.41","161.38","437.07M","-0.45%"
"Nov 03, 2003","163.41","157.54","163.41","157.54","498.26M","3.73%"
"Oct 31, 2003","157.54","153.80","157.76","153.80","409.21M","2.43%"
"Oct 30, 2003","153.80","146.73","154.55","146.04","394.53M","4.82%"
"Oct 28, 2003","146.73","145.65","147.12","144.30","94.57M","0.74%"
"Oct 27, 2003","145.65","148.66","148.66","143.92","166.15M","-2.02%"
"Oct 24, 2003","148.66","148.29","150.33","147.26","180.54M","0.25%"
"Oct 23, 2003","148.29","153.00","153.74","146.91","244.50M","-3.08%"
"Oct 22, 2003","153.00","155.95","156.65","152.51","286.59M","-1.89%"
"Oct 21, 2003","155.95","153.59","156.53","152.36","257.08M","1.54%"
"Oct 20, 2003","153.59","153.82","154.53","152.23","230.08M","-0.15%"
"Oct 17, 2003","153.82","155.97","155.99","152.05","276.28M","-1.38%"
"Oct 16, 2003","155.97","153.82","157.56","153.82","521.50M","1.40%"
"Oct 15, 2003","153.82","150.23","154.61","150.23","393.08M","2.39%"
"Oct 14, 2003","150.23","150.65","153.17","147.41","499.08M","-0.28%"
"Oct 13, 2003","150.65","154.21","156.92","150.14","453.92M","-2.31%"
"Oct 10, 2003","154.21","149.07","154.61","149.07","416.38M","3.45%"
"Oct 09, 2003","149.07","151.48","152.15","147.80","485.17M","-1.59%"
"Oct 08, 2003","151.48","154.83","157.00","150.70","583.90M","-2.16%"
"Oct 07, 2003","154.83","157.20","164.43","153.87","1.01B","-1.51%"
"Oct 06, 2003","157.20","142.10","157.20","142.10","964.35M","10.63%"
"Oct 03, 2003","142.10","138.80","144.17","138.80","721.39M","2.38%"
"Oct 02, 2003","138.80","134.44","138.80","132.41","387.32M","3.24%"
"Oct 01, 2003","134.44","130.56","134.44","130.08","255.10M","2.97%"
"Sep 30, 2003","130.56","132.56","134.12","128.34","239.47M","-1.51%"
"Sep 29, 2003","132.56","137.59","137.59","131.66","225.56M","-3.66%"
"Sep 26, 2003","137.59","139.36","139.45","136.99","195.93M","-1.27%"
"Sep 25, 2003","139.36","137.98","139.76","136.03","320.91M","1.00%"
"Sep 24, 2003","137.98","140.31","141.17","137.14","318.26M","-1.66%"
"Sep 23, 2003","140.31","138.45","141.03","136.89","-","1.34%"
"Sep 22, 2003","138.45","136.64","141.48","136.64","602.15M","1.32%"
"Sep 19, 2003","136.64","134.19","136.64","133.54","440.88M","1.83%"
"Sep 18, 2003","134.19","129.58","134.56","129.58","486.50M","3.56%"
"Sep 17, 2003","129.58","130.05","132.06","128.73","414.97M","-0.36%"
"Sep 16, 2003","130.05","126.62","130.05","126.03","271.97M","2.71%"
"Sep 15, 2003","126.62","127.15","128.76","126.04","231.83M","-0.42%"
"Sep 12, 2003","127.15","125.07","128.06","125.07","375.19M","1.66%"
"Sep 11, 2003","125.07","123.18","125.07","122.16","296.60M","1.53%"
"Sep 10, 2003","123.18","119.47","124.25","119.47","507.93M","3.11%"
"Sep 09, 2003","119.47","115.81","119.47","114.70","209.54M","3.16%"
"Sep 08, 2003","115.81","116.32","116.46","115.15","90.74M","-0.44%"
"Sep 05, 2003","116.32","116.36","116.83","115.67","112.25M","-0.03%"
"Sep 04, 2003","116.36","116.72","117.07","115.43","133.68M","-0.31%"
"Sep 03, 2003","116.72","116.37","116.99","116.01","111.78M","0.30%"
"Sep 02, 2003","116.37","116.53","117.62","115.79","133.50M","-0.14%"
