"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 02","93.80","104.14","106.11","85.36","1.48B","-9.93%"
"May 02","104.14","114.42","122.71","101.33","1.62B","-8.98%"
"Apr 02","114.42","116.79","126.76","111.82","2.27B","-2.03%"
"Mar 02","116.79","110.56","121.73","104.44","2.10B","5.63%"
"Feb 02","110.56","132.52","135.00","107.16","1.55B","-16.57%"
"Jan 02","132.52","140.78","150.72","120.70","2.99B","-3.85%"
"Dec 01","137.83","116.34","139.61","111.26","2.69B","18.47%"
"Nov 01","116.34","98.49","124.38","95.67","3.86B","18.12%"
"Oct 01","98.49","76.26","100.61","72.63","2.62B","29.15%"
"Sep 01","76.26","98.79","99.34","68.82","1.24B","-22.81%"
"Aug 01","98.79","99.15","104.24","86.60","1.54B","-0.36%"
"Jul 01","99.15","112.04","115.14","83.27","1.90B","-11.50%"
"Jun 01","112.04","108.80","123.18","105.86","1.55B","2.98%"
"May 01","108.80","123.67","133.29","100.31","2.36B","-12.02%"
"Apr 01","123.67","80.23","130.73","76.82","1.92B","54.14%"
"Mar 01","80.23","87.92","97.23","70.69","952.95M","-8.75%"
"Feb 01","87.92","106.85","108.98","67.97","1.39B","-17.72%"
"Jan 01","106.85","94.37","116.63","90.99","1.43B","13.22%"
"Dec 00","94.37","87.48","107.81","71.09","856.47M","7.88%"
"Nov 00","87.48","135.38","149.33","87.02","1.19B","-35.38%"
"Oct 00","135.38","113.50","140.59","111.27","1.30B","19.28%"
"Sep 00","113.50","131.32","133.09","103.10","1.02B","-13.57%"
"Aug 00","131.32","138.70","143.04","123.43","840.54M","-5.32%"
"Jul 00","138.70","144.66","150.18","124.76","661.60M","-4.12%"
"Jun 00","144.66","162.06","169.55","140.51","773.67M","-10.74%"
"May 00","162.06","192.06","196.00","150.57","816.77M","-15.62%"
"Apr 00","192.06","159.20","192.57","151.87","1.01B","20.64%"
"Mar 00","159.20","159.46","185.38","152.01","739.91M","-0.16%"
"Feb 00","159.46","167.15","173.76","131.71","769.51M","-4.60%"
"Jan 00","167.15","152.09","206.18","152.09","983.90M","9.90%"
